#name, rflam
5.671e-01_7.286e-01_6.471e-01_6.472e-02_1.671e-02_2.800e+01.h5, 0.549601
1.452e+00_1.482e+00_3.814e-01_1.085e+00_1.618e-02_8.100e+01.h5, 0.639857
9.272e-01_7.905e-01_6.173e-01_1.429e-01_3.034e-02_7.100e+01.h5, 0.477816
3.102e+00_1.577e+00_6.050e-01_9.191e-01_5.246e-02_3.100e+01.h5, 0.480702
1.409e+00_1.166e+00_3.121e-01_7.971e-01_5.627e-02_1.000e+01.h5, 0.527371
1.756e+00_9.685e-01_4.831e-01_4.689e-01_1.658e-02_7.100e+01.h5, 0.395544
1.462e+00_1.553e+00_8.581e-01_6.473e-01_4.730e-02_4.100e+01.h5, 0.633811
1.030e+00_8.944e-01_1.288e-01_7.460e-01_1.960e-02_2.690e+02.h5, 0.413430
6.908e-01_7.898e-01_1.134e-01_6.655e-01_1.096e-02_3.000e+01.h5, 0.542946
9.302e-01_1.045e+00_8.816e-01_1.298e-01_3.371e-02_3.140e+02.h5, 0.602410
1.563e+00_1.531e+00_1.076e+00_4.396e-01_1.600e-02_2.300e+01.h5, 0.604308
1.468e+00_1.734e+00_8.734e-01_8.509e-01_9.704e-03_2.900e+01.h5, 0.668049
7.831e-01_7.365e-01_5.758e-01_1.286e-01_3.214e-02_1.900e+01.h5, 0.473932
1.713e+00_1.525e+00_1.158e+00_3.113e-01_5.575e-02_1.200e+01.h5, 0.625015
2.491e+00_1.457e+00_1.168e+00_2.456e-01_4.376e-02_1.400e+01.h5, 0.570582
1.079e+00_1.230e+00_5.925e-01_6.115e-01_2.603e-02_3.000e+01.h5, 0.607974
7.570e-01_7.942e-01_1.766e-01_5.690e-01_4.866e-02_1.240e+02.h5, 0.455305
2.698e+00_1.578e+00_6.130e-01_9.338e-01_3.115e-02_1.600e+01.h5, 0.500966
8.779e-01_7.560e-01_5.671e-01_1.877e-01_1.179e-03_1.640e+02.h5, 0.461571
1.029e+00_1.231e+00_9.073e-01_2.409e-01_8.282e-02_5.400e+01.h5, 0.604430
1.084e+00_1.202e+00_3.395e-01_7.933e-01_6.965e-02_2.260e+02.h5, 0.579021
2.485e+00_1.439e+00_1.145e+00_2.339e-01_5.993e-02_6.300e+01.h5, 0.536451
2.900e+00_1.408e+00_1.462e-01_1.261e+00_8.135e-04_1.100e+01.h5, 0.391558
1.799e+00_1.259e+00_9.224e-01_2.761e-01_6.001e-02_1.800e+01.h5, 0.544545
2.425e+00_1.487e+00_8.540e-01_6.011e-01_3.176e-02_2.230e+02.h5, 0.496758
1.994e+00_9.390e-01_7.752e-01_1.267e-01_3.713e-02_2.920e+02.h5, 0.408065
1.757e+00_1.888e+00_7.054e-01_1.098e+00_8.478e-02_2.500e+02.h5, 0.664272
1.542e+00_1.074e+00_7.958e-01_2.631e-01_1.548e-02_8.900e+01.h5, 0.502952
2.131e+00_1.413e+00_7.522e-01_5.974e-01_6.343e-02_1.070e+02.h5, 0.507430
1.989e+00_1.498e+00_2.451e-01_1.181e+00_7.201e-02_2.100e+01.h5, 0.575386
1.365e+00_9.661e-01_4.125e-01_4.862e-01_6.742e-02_4.800e+01.h5, 0.457030
1.117e+00_1.312e+00_1.050e+00_1.946e-01_6.795e-02_1.800e+01.h5, 0.658878
2.943e+00_1.407e+00_5.132e-01_8.148e-01_7.945e-02_1.900e+01.h5, 0.441376
1.169e+00_7.702e-01_1.956e-01_5.606e-01_1.406e-02_3.300e+01.h5, 0.374562
1.345e+00_1.485e+00_1.187e+00_2.237e-01_7.490e-02_4.400e+01.h5, 0.666384
1.284e+00_1.084e+00_8.353e-01_2.431e-01_5.529e-03_2.750e+02.h5, 0.549372
3.462e+00_2.115e+00_1.368e+00_7.200e-01_2.701e-02_1.500e+01.h5, 0.604485
1.338e+00_1.412e+00_7.187e-01_6.500e-01_4.328e-02_2.200e+01.h5, 0.600604
1.801e+00_1.215e+00_1.767e-01_1.004e+00_3.372e-02_1.020e+02.h5, 0.481608
9.191e-01_1.341e+00_1.606e-01_1.146e+00_3.397e-02_5.700e+01.h5, 0.729665
2.317e+00_1.312e+00_6.155e-01_6.308e-01_6.601e-02_1.500e+01.h5, 0.453868
3.143e+00_1.562e+00_1.066e+00_4.826e-01_1.397e-02_2.770e+02.h5, 0.511253
3.835e+00_2.205e+00_9.053e-01_1.255e+00_4.462e-02_3.400e+01.h5, 0.577395
1.464e+00_1.071e+00_5.935e-01_4.729e-01_4.403e-03_8.200e+01.h5, 0.478863
2.079e+00_1.455e+00_1.739e-01_1.257e+00_2.396e-02_3.100e+01.h5, 0.519417
1.962e+00_1.557e+00_4.258e-01_1.027e+00_1.048e-01_8.700e+01.h5, 0.566415
2.775e+00_1.447e+00_4.523e-01_9.745e-01_1.980e-02_2.400e+02.h5, 0.433885
1.355e+00_7.152e-01_2.533e-01_4.384e-01_2.349e-02_1.100e+01.h5, 0.325696
1.598e+00_7.800e-01_1.811e-01_5.973e-01_1.638e-03_2.600e+01.h5, 0.300201
2.099e+00_1.156e+00_4.860e-01_6.232e-01_4.726e-02_2.070e+02.h5, 0.406542
1.165e+00_1.450e+00_4.199e-01_9.983e-01_3.217e-02_2.770e+02.h5, 0.682786
3.104e+00_1.568e+00_2.300e-01_1.290e+00_4.817e-02_4.500e+01.h5, 0.429807
2.791e+00_1.599e+00_4.488e-01_1.141e+00_9.808e-03_3.120e+02.h5, 0.481058
6.860e-01_9.082e-01_3.926e-01_4.804e-01_3.526e-02_8.600e+01.h5, 0.565596
3.816e+00_1.793e+00_1.146e+00_5.763e-01_7.156e-02_2.700e+01.h5, 0.535214
2.573e+00_1.282e+00_3.357e-01_8.592e-01_8.757e-02_3.200e+01.h5, 0.405062
1.295e+00_1.309e+00_1.164e+00_1.187e-01_2.626e-02_4.900e+01.h5, 0.646010
2.149e+00_1.172e+00_4.945e-01_6.181e-01_5.954e-02_2.600e+02.h5, 0.446471
1.487e+00_1.522e+00_1.649e-01_1.282e+00_7.418e-02_1.020e+02.h5, 0.637547
2.537e+00_1.518e+00_8.124e-01_7.005e-01_5.175e-03_1.800e+01.h5, 0.512457
9.499e-01_1.439e+00_1.105e+00_2.586e-01_7.486e-02_6.800e+01.h5, 0.679006
2.639e+00_1.353e+00_8.485e-01_4.142e-01_9.008e-02_3.400e+01.h5, 0.470356
1.390e+00_8.234e-01_3.771e-01_4.165e-01_2.980e-02_3.030e+02.h5, 0.365779
9.999e-01_1.384e+00_5.698e-01_7.621e-01_5.194e-02_1.200e+01.h5, 0.660765
3.301e+00_2.160e+00_3.451e-01_1.799e+00_1.625e-02_2.600e+01.h5, 0.592512
1.358e+00_1.006e+00_4.000e-01_5.569e-01_4.877e-02_2.500e+01.h5, 0.472920
2.093e+00_1.085e+00_1.656e-01_9.052e-01_1.467e-02_1.230e+02.h5, 0.350687
1.779e+00_1.241e+00_8.632e-01_3.206e-01_5.701e-02_1.600e+01.h5, 0.519267
2.802e+00_1.433e+00_5.487e-01_8.585e-01_2.535e-02_2.900e+02.h5, 0.460841
1.318e+00_1.162e+00_6.299e-01_4.731e-01_5.954e-02_1.000e+01.h5, 0.533142
1.735e+00_1.532e+00_2.688e-01_1.252e+00_1.195e-02_8.100e+01.h5, 0.579527
1.880e+00_1.375e+00_1.028e+00_3.375e-01_9.796e-03_6.600e+01.h5, 0.546966
1.008e+00_1.362e+00_7.624e-01_5.787e-01_2.114e-02_1.400e+01.h5, 0.635598
2.568e+00_1.456e+00_1.194e+00_2.613e-01_6.053e-04_1.600e+01.h5, 0.546347
9.637e-01_8.845e-01_7.777e-01_9.943e-02_7.328e-03_1.370e+02.h5, 0.550015
1.447e+00_1.240e+00_9.267e-01_2.580e-01_5.492e-02_4.700e+01.h5, 0.566801
1.001e+00_8.836e-01_6.681e-01_1.937e-01_2.178e-02_3.700e+01.h5, 0.496085
